state,bill_number,title,description,matched_keyword
CA,SB423,Housing: real property transfer taxes: affordability covenants.,"An act to add Chapter 12 (commencing with Section 50360) to Part 1 of Division 31 of the Health and Safety Code, and to add Section 11914 to the Revenue and Taxation Code, relating to housing.",housing
CA,SB492,Youth Housing Bond Act of 2026.,"An act to add Part 14.4 (commencing with Section 53700) to Division 31 of the Health and Safety Code, relating to the Youth Housing Bond Act of 2026, by providing the funds necessary therefor through an election for the issuance and sale of bonds of the State of California and for the handling and disposition of those funds, and declaring the urgency thereof, to take effect immediately.",housing
CA,SB502,Local education agency-owned land: development of affordable housing.,"An act to add Part 13.5 (commencing with Section 53569) to Division 31 of the Health and Safety Code, relating to housing.",housing
CA,SB507,Planning and zoning: regional housing needs allocation.,"An act to add Section 65584.2.2 to the Government Code, relating to housing.",housing
CA,SB522,Housing: tenant protections.,"An act to amend Section 1946.2 of the Civil Code, relating to housing.",housing
CA,SB565,Employee housing: H-2A agricultural workers: inspections.,"An act to amend Sections 17030 and 17052 of the Health and Safety Code, relating to housing.",housing
CA,SB606,"Homeless Housing, Assistance, and Prevention program: reporting requirements: functional zero unsheltered.","An act to add Section 50224 to the Health and Safety Code, relating to housing.",housing
CA,SB625,Housing developments: disasters: reconstruction of destroyed or damaged structures.,"An act to add Sections 4752 and 4766 to the Civil Code, and to add Chapter 4.2.2 (commencing with Section 65914.200) to Division 1 of Title 7 of the Government Code, relating to housing.",housing
CA,SB681,Housing.,"An act to amend Sections 714.3, 1950.6, 5850, and 5855 of, and to add Sections 1950.3 and 2924.13 to, the Civil Code, to amend Sections 54221, 65584.01, 65584.04, 65589.5, 65905.5, 65913.10, 65928, 65941.1, 65953, and 65956 of, to amend and repeal Sections 65940, 65943, and 65950 of, to add Section 8590.15.5 to, and to repeal Section 66301 of, the Government Code, to amend Section 30603 of, to add Section 30342 to, and to add and repeal Section 25402.15 of, the Public Resources Code, and to amend Section 17053.5 of the Revenue and Taxation Code, relating to housing.",housing
CA,SB686,Housing programs: financing.,"An act to amend Section 50406.4 of the Health and Safety Code, relating to housing.",housing
CA,SB715,Regional housing need: methodology: distribution.,"An act to amend Sections 65584.04 and 65584.06 of the Government Code, relating to housing.",housing
CA,SB750,California Housing Finance and Credit Act.,"An act to add Part 4.1 (commencing with Section 51700) to Division 31 of the Health and Safety Code, relating to housing, and making an appropriation therefor.",housing
