bill_id,number,change_hash,url,status_date,status,last_action_date,last_action,title,description
1948846,A03999,47fb50de11aae928fcf11803a5d74989,https://legiscan.com/NY/bill/A03999/2025,2025-01-30,1,2025-06-17,substituted by s2457b,"Establishes the mechanical insulation energy savings program to provide grants for qualified mechanical insulation expenditures to school districts, public hospitals, public housing buildings, and political subdivisions that have completed a qualified audit.","Establishes the mechanical insulation energy savings program to provide grants for qualified mechanical insulation expenditures to school districts, public hospitals, public housing buildings, and political subdivisions that have completed a qualified audit."
1948593,A04002,d2628e0b733d917c51f0fca47479d6aa,https://legiscan.com/NY/bill/A04002/2025,2025-01-30,1,2026-01-09,print number 4002a,Prohibits discriminatory advertisement practices in relation to the sale or renting of housing; allows for the division of human rights to investigate such occurrences.,Prohibits discriminatory advertisement practices in relation to the sale or renting of housing; allows for the division of human rights to investigate such occurrences.
1949582,A04040,4f87093a29ffe59cd5a1634db8bc9542,https://legiscan.com/NY/bill/A04040/2025,2025-12-19,4,2025-12-19,signed chap.649,"Codifies the disparate impact standard in the human rights law; provides that in cases of alleged housing discrimination, an unlawful discriminatory practice may be established by a practice's discriminatory effect.","Codifies the disparate impact standard in the human rights law; provides that in cases of alleged housing discrimination, an unlawful discriminatory practice may be established by a practice's discriminatory effect."
1950609,A04120,00bbf77b9a2c9e02f37daec182e2334c,https://legiscan.com/NY/bill/A04120/2025,2025-01-31,1,2026-01-07,referred to housing,"Protects renters using a housing subsidy or voucher, or receiving public assistance from discrimination by the housing provider based on such renters' income or use of such housing subsidy, voucher or public assistance.","Protects renters using a housing subsidy or voucher, or receiving public assistance from discrimination by the housing provider based on such renters' income or use of such housing subsidy, voucher or public assistance."
1950244,A04191,f6ca7ca387dc3eb142aedd2a9276871c,https://legiscan.com/NY/bill/A04191/2025,2025-01-31,1,2026-01-07,referred to aging,"Establishes the bureau of the senior tenants' advocate within the state office for the aging; provides that the senior tenants' advocate shall assist senior citizen tenants in resolving complaints they may have with the New York state division of housing and community renewal, landlord disputes, rent increases, and other housing related matters; provides that the governor shall appoint the senior tenants' advocate.","Establishes the bureau of the senior tenants' advocate within the state office for the aging; provides that the senior tenants' advocate shall assist senior citizen tenants in resolving complaints they may have with the New York state division of housing and community renewal, landlord disputes, rent increases, and other housing related matters; provides that the governor shall appoint the senior tenants' advocate."
1953948,A04284,25353f48816b1f449267a79e8fe3792a,https://legiscan.com/NY/bill/A04284/2025,2025-02-04,1,2026-01-07,referred to judiciary,Expands the right to seek the appointment of administrators of buildings to tenants and local governments throughout the state and to make procedures conform with realities of housing stock throughout the state.,Expands the right to seek the appointment of administrators of buildings to tenants and local governments throughout the state and to make procedures conform with realities of housing stock throughout the state.
1953551,A04319,f47398a18f7fbe8324ef7cd96890860e,https://legiscan.com/NY/bill/A04319/2025,2025-02-04,1,2026-01-07,referred to governmental operations,Includes correctional facilities and local correctional facilities as publicly-assisted housing accommodations for purposes of the division of human rights; defines correctional facilities and local correctional facilities.,Includes correctional facilities and local correctional facilities as publicly-assisted housing accommodations for purposes of the division of human rights; defines correctional facilities and local correctional facilities.
1953355,A04325,0c4c9a6851ed70527afc96aa543b5886,https://legiscan.com/NY/bill/A04325/2025,2025-02-04,1,2026-01-07,referred to correction,"Requires the department of corrections and community supervision to establish discharge plans and reentry services for wrongfully convicted individuals upon their discharge which includes housing needs, educational needs, employment needs, medical needs, and specific social service needs.","Requires the department of corrections and community supervision to establish discharge plans and reentry services for wrongfully convicted individuals upon their discharge which includes housing needs, educational needs, employment needs, medical needs, and specific social service needs."
1953502,A04334,4fa6fb9839f5089e253531137a5d13aa,https://legiscan.com/NY/bill/A04334/2025,2025-02-04,1,2026-01-07,referred to housing,Requires rent reduction in cases of submetered utility service; directs the division of housing and community renewal to develop a standard reduction and an appeals process.,Requires rent reduction in cases of submetered utility service; directs the division of housing and community renewal to develop a standard reduction and an appeals process.
1953644,A04432,08593c0d4df3de2b6109374cfc2f3c8b,https://legiscan.com/NY/bill/A04432/2025,2025-02-04,1,2026-01-07,referred to governmental operations,"Relates to rental discrimination based upon consumer credit history; prohibits a person from refusing to rent or lease or otherwise to deny to or withhold from any person or group of persons housing accommodations because of the consumer credit history of such person or persons, or to represent that any housing accommodation is not available for rental or lease when in fact it is so available; defines consumer credit history.","Relates to rental discrimination based upon consumer credit history; prohibits a person from refusing to rent or lease or otherwise to deny to or withhold from any person or group of persons housing accommodations because of the consumer credit history of such person or persons, or to represent that any housing accommodation is not available for rental or lease when in fact it is so available; defines consumer credit history."
1953812,A04465,4b839c6ca9a1388ca1a7a4b288506121,https://legiscan.com/NY/bill/A04465/2025,2025-02-04,1,2026-01-07,referred to judiciary,Establishes a housing court for actions and proceedings involving the enforcement of state and local laws for the establishment and maintenance of housing standards; makes related provisions.,Establishes a housing court for actions and proceedings involving the enforcement of state and local laws for the establishment and maintenance of housing standards; makes related provisions.
