state,bill_id,bill_number,title,description,status,status_date,url
NE,1909386,,Remove nonalcoholic beer from regulation under the Nebraska Liquor Control Act,Remove nonalcoholic beer from regulation under the Nebraska Liquor Control Act,1,2025-01-09,https://legiscan.com/NE/bill/LB33/2025
NE,1909162,,Provide for year-round daylight saving time,Provide for year-round daylight saving time,3,2025-03-11,https://legiscan.com/NE/bill/LB34/2025
NE,1908740,,Change provisions relating to the requirements for certain exemptions for privately developed renewable energy generation facilities,Change provisions relating to the requirements for certain exemptions for privately developed renewable energy generation facilities,6,2025-06-02,https://legiscan.com/NE/bill/LB35/2025
NE,1909017,,"Adopt the Safe Battery Collection and Recycling Act, provide for the Home Weatherization Clearinghouse and for mitigation of incidental taking of threatened or endangered species habitat, change provisions relating to the Water Recreation Enhancement Act, ground water allocation, and permits and stamps issued by the Game and Parks Commission, and create the Research Excellence Cash Fund","Adopt the Safe Battery Collection and Recycling Act, provide for the Home Weatherization Clearinghouse and for mitigation of incidental taking of threatened or endangered species habitat, change provisions relating to the Water Recreation Enhancement Act, ground water allocation, and permits and stamps issued by the Game and Parks Commission, and create the Research Excellence Cash Fund",4,2025-05-21,https://legiscan.com/NE/bill/LB36/2025
NE,2026333,,Appropriation Bill,Appropriation Bill,4,2025-05-21,https://legiscan.com/NE/bill/LB36A/2025
NE,1908816,,Adopt the Railroad Safety Act,Adopt the Railroad Safety Act,1,2025-01-09,https://legiscan.com/NE/bill/LB37/2025
NE,1908957,,Change provisions of the Geologists Regulation Act,Change provisions of the Geologists Regulation Act,4,2025-02-26,https://legiscan.com/NE/bill/LB38/2025
NE,1908934,,Change provisions relating to the board of directors of a bank,Change provisions relating to the board of directors of a bank,1,2025-01-09,https://legiscan.com/NE/bill/LB39/2025
NE,1909040,,Change provisions relating to the Nebraska Uniform Limited Liability Company Act,Change provisions relating to the Nebraska Uniform Limited Liability Company Act,1,2025-01-09,https://legiscan.com/NE/bill/LB40/2025
NE,1909052,,Change provisions relating to blood tests for pregnant women,Change provisions relating to blood tests for pregnant women,4,2025-04-10,https://legiscan.com/NE/bill/LB41/2025
NE,2000471,,Appropriation Bill,Appropriation Bill,4,2025-04-10,https://legiscan.com/NE/bill/LB41A/2025
